humidity,temerature (3d before),pressure (3d before),precipitation (3d before),cloud cover (3d before),sunshine duration (3d before),wind speed (3d before),temerature (2d before),pressure (2d before),precipitation (2d before),cloud cover (2d before),sunshine duration (2d before),wind speed (2d before),temerature (1d before),pressure (1d before),precipitation (1d before),cloud cover (1d before),sunshine duration (1d before),wind speed (1d before)
73.21,11.74,1017.31,2.8,69.62,122.16,15.16,9.66,1025.03,0.2,68.48,115.79,10.15,14.15,1025.93,1.1,75.38,7.89,9.18
63.75,9.66,1025.03,0.2,68.48,115.79,10.15,14.15,1025.93,1.1,75.38,7.89,9.18,13.77,1025.6,0,17.58,543.17,5.18
52.83,14.15,1025.93,1.1,75.38,7.89,9.18,13.77,1025.6,0,17.58,543.17,5.18,16.49,1020.2,0,0.15,632.22,8.83
68.54,13.77,1025.6,0,17.58,543.17,5.18,16.49,1020.2,0,0.15,632.22,8.83,18.84,1013.44,0.4,40.29,294.53,7.91
76.17,16.49,1020.2,0,0.15,632.22,8.83,18.84,1013.44,0.4,40.29,294.53,7.91,16.43,1014.15,0,27.49,370.3,9.11
75.17,18.84,1013.44,0.4,40.29,294.53,7.91,16.43,1014.15,0,27.49,370.3,9.11,14.86,1019.57,0,47.42,417.62,5.43
69.5,16.43,1014.15,0,27.49,370.3,9.11,14.86,1019.57,0,47.42,417.62,5.43,16.96,1020.37,0,3.71,648.82,6.4
58.71,14.86,1019.57,0,47.42,417.62,5.43,16.96,1020.37,0,3.71,648.82,6.4,17.14,1016.24,0,1.99,672.27,13.98
60.71,16.96,1020.37,0,3.71,648.82,6.4,17.14,1016.24,0,1.99,672.27,13.98,17.3,1014.83,0,43.32,415.78,10.6
58.75,17.14,1016.24,0,1.99,672.27,13.98,17.3,1014.83,0,43.32,415.78,10.6,19.39,1022.77,0,20.83,613.22,10.23
56.58,17.3,1014.83,0,43.32,415.78,10.6,19.39,1022.77,0,20.83,613.22,10.23,18.67,1021.13,0,0.15,665.29,7.43
54.5,19.39,1022.77,0,20.83,613.22,10.23,18.67,1021.13,0,0.15,665.29,7.43,18.07,1014.21,0,0.3,657.36,11.25
55.12,18.67,1021.13,0,0.15,665.29,7.43,18.07,1014.21,0,0.3,657.36,11.25,15.74,1014.44,0,0.21,658.63,11.78
62,18.07,1014.21,0,0.3,657.36,11.25,15.74,1014.44,0,0.21,658.63,11.78,16.36,1017.61,0,20.22,483.43,5.83
66.5,15.74,1014.44,0,0.21,658.63,11.78,16.36,1017.61,0,20.22,483.43,5.83,17.01,1017.55,0,5.95,626.87,5.99
79.96,16.36,1017.61,0,20.22,483.43,5.83,17.01,1017.55,0,5.95,626.87,5.99,16.09,1017.77,0,34.36,541.22,5.58
79.67,17.01,1017.55,0,5.95,626.87,5.99,16.09,1017.77,0,34.36,541.22,5.58,13.54,1021.55,0,45.98,337.45,4.95
74.75,16.09,1017.77,0,34.36,541.22,5.58,13.54,1021.55,0,45.98,337.45,4.95,12.85,1026.57,0,36.98,386.88,4.88
64.21,13.54,1021.55,0,45.98,337.45,4.95,12.85,1026.57,0,36.98,386.88,4.88,11.51,1026.09,0,44,381.35,7.37
67.12,12.85,1026.57,0,36.98,386.88,4.88,11.51,1026.09,0,44,381.35,7.37,9.15,1027.71,0,0.14,634.41,6.35
64.29,11.51,1026.09,0,44,381.35,7.37,9.15,1027.71,0,0.14,634.41,6.35,10.8,1030.09,0,52.11,221.81,10.23
76,9.15,1027.71,0,0.14,634.41,6.35,10.8,1030.09,0,52.11,221.81,10.23,12.94,1026.52,0,59.12,204.68,18.25
70.71,10.8,1030.09,0,52.11,221.81,10.23,12.94,1026.52,0,59.12,204.68,18.25,13.06,1021,0,43.98,431.83,6.85
77.88,12.94,1026.52,0,59.12,204.68,18.25,13.06,1021,0,43.98,431.83,6.85,11.95,1011.8,0,66.5,474.41,6.95
74.29,13.06,1021,0,43.98,431.83,6.85,11.95,1011.8,0,66.5,474.41,6.95,8.49,1007.2,13.9,99.25,7.66,11.27
76.88,11.95,1011.8,0,66.5,474.41,6.95,8.49,1007.2,13.9,99.25,7.66,11.27,6.16,1003.99,6.5,100,0,15.54
61.21,8.49,1007.2,13.9,99.25,7.66,11.27,6.16,1003.99,6.5,100,0,15.54,7.33,992.64,0,87.33,23.62,10.68
65.5,6.16,1003.99,6.5,100,0,15.54,7.33,992.64,0,87.33,23.62,10.68,6.57,999.29,2.2,65.58,70.3,31.73
74.21,7.33,992.64,0,87.33,23.62,10.68,6.57,999.29,2.2,65.58,70.3,31.73,8.25,1013.8,0,60.67,168.95,13.47
73.29,6.57,999.29,2.2,65.58,70.3,31.73,8.25,1013.8,0,60.67,168.95,13.47,10.16,1013.57,4.4,77.13,197.08,8.45
75.54,8.25,1013.8,0,60.67,168.95,13.47,10.16,1013.57,4.4,77.13,197.08,8.45,11.07,1022.41,0,84.82,179.8,7.52
80.25,10.16,1013.57,4.4,77.13,197.08,8.45,11.07,1022.41,0,84.82,179.8,7.52,10.23,1023.84,0.5,37.96,485.12,6.14
75.21,11.07,1022.41,0,84.82,179.8,7.52,10.23,1023.84,0.5,37.96,485.12,6.14,10.61,1014.82,0,14.23,419.03,7.49
70.75,10.23,1023.84,0.5,37.96,485.12,6.14,10.61,1014.82,0,14.23,419.03,7.49,12.23,1008.13,0,35.35,297.68,8.65
66.25,10.61,1014.82,0,14.23,419.03,7.49,12.23,1008.13,0,35.35,297.68,8.65,12.04,1007.81,0.1,57.76,468.9,7.7
74.79,12.23,1008.13,0,35.35,297.68,8.65,12.04,1007.81,0.1,57.76,468.9,7.7,13.04,1012.51,0.4,61.27,474.64,7.66
73.29,12.04,1007.81,0.1,57.76,468.9,7.7,13.04,1012.51,0.4,61.27,474.64,7.66,11.37,1019.12,4.6,75.19,280.59,6.93
69.67,13.04,1012.51,0.4,61.27,474.64,7.66,11.37,1019.12,4.6,75.19,280.59,6.93,12.29,1014.83,0,49.79,287.08,8.08
67.75,11.37,1019.12,4.6,75.19,280.59,6.93,12.29,1014.83,0,49.79,287.08,8.08,11.99,1009.51,0.6,64.35,89.67,9.77
68.75,12.29,1014.83,0,49.79,287.08,8.08,11.99,1009.51,0.6,64.35,89.67,9.77,13.96,1011.66,1.7,59.45,293.81,14.88
71,11.99,1009.51,0.6,64.35,89.67,9.77,13.96,1011.66,1.7,59.45,293.81,14.88,13.14,1017.22,0,96.29,14.68,13.1
76.04,13.96,1011.66,1.7,59.45,293.81,14.88,13.14,1017.22,0,96.29,14.68,13.1,12.22,1027,4.4,75.33,56.81,9.08
77.79,13.14,1017.22,0,96.29,14.68,13.1,12.22,1027,4.4,75.33,56.81,9.08,10.35,1028.12,0,18.83,467.58,11.49
73.5,12.22,1027,4.4,75.33,56.81,9.08,10.35,1028.12,0,18.83,467.58,11.49,8.42,1025.44,0,6.24,551.48,9.56
69.54,10.35,1028.12,0,18.83,467.58,11.49,8.42,1025.44,0,6.24,551.48,9.56,6.35,1025.56,0,6.75,561.12,9.76
71.54,8.42,1025.44,0,6.24,551.48,9.56,6.35,1025.56,0,6.75,561.12,9.76,3.63,1024.5,0,16.58,409.06,8.67
72.04,6.35,1025.56,0,6.75,561.12,9.76,3.63,1024.5,0,16.58,409.06,8.67,1.65,1022.38,0,9.75,522.62,4.86
72.17,3.63,1024.5,0,16.58,409.06,8.67,1.65,1022.38,0,9.75,522.62,4.86,1.14,1010.36,0,67.21,37.04,9.36
71.42,1.65,1022.38,0,9.75,522.62,4.86,1.14,1010.36,0,67.21,37.04,9.36,1.28,1005.7,0,32.29,402.5,8.09
